country,gold
Algeria,0
Argentina,21
Armenia,1
Australia,23
Austria,0
Azerbaijan,1
Bahamas,1
Burundi,0
Belgium,2
Belarus,1
Brazil,37
Bahrain,1
Bulgaria,0
Canada,4
China,46
Cote d'Ivoire,1
Colombia,3
Croatia,7
Cuba,5
Czech Republic,1
Denmark,15
Dominican Republic,0
Egypt,0
Spain,9
Estonia,0
Ethiopia,1
Fiji,13
Finland,0
France,20
United Kingdom,64
Georgia,2
Germany,49
Greece,3
Grenada,0
Hungary,12
Indonesia,2
India,0
Iran,3
Ireland,0
Israel,0
Italy,8
Jamaica,11
Jordan,1
Japan,17
Kazakhstan,3
Kenya,6
"Korea, South",13
Lithuania,0
Morocco,0
Malaysia,0
Moldova,0
Mexico,0
Mongolia,0
Netherlands,9
Nigeria,0
Niger,0
Norway,0
New Zealand,6
Philippines,0
Poland,3
Portugal,0
"Korea, North",2
Puerto Rico*,1
Qatar,0
South Africa,2
Russia,52
Singapore,1
Slovenia,1
Switzerland,6
Slovakia,3
Sweden,2
Thailand,2
Tajikistan,1
Taiwan,1
Tunisia,0
Turkey,1
United Arab Emirates,0
Ukraine,2
United States,139
Uzbekistan,4
Venezuela,0
Vietnam,1
